id,vendor,product_name,units,brand,current_price,price_per_unit,price_in_dollars
2324975,Metro,"Bread Crumbs, Gluten Free",500g,Life Smart,6.99,$1.40 /100g,1.4
2325184,Metro,Italian Style Bread Crumbs,680g,Aurora,3.99,$0.59 /100g,0.59
2327848,Metro,"BBQ Sauce Breaded Chicken Bites, Ultimates",710g,Janes,12.99,$1.83 /100g,1.83
2327938,Metro,Frozen Breaded Chicken Nuggets,600g,St-Hubert,13.99,$2.33 /100g,2.33
2328191,Metro,"Frozen Seasoned Breaded Chicken Cutlets, Schnitzel",450g,Schneiders,14.99,$3.33 /100g,3.33
2328195,Metro,"Frozen Breaded Pork Cutlets, Schnitzel",450g,Schneiders,14.99,$3.33 /100g,3.33
2328411,Metro,Pure Butter Shortbread Cookies,150g,Walkers,5.99,$3.99 /100g,3.99
2328427,Metro,Sesame Rye Crispbread,250g,RyVita,4.99,$2.00 /100g,2.0
2328478,Metro,Multi-Grain Crispbread,250g,RyVita,4.99,$2.00 /100g,2.0
2328486,Metro,Muesli Crunch Crispbread,200g,RyVita,4.49,$2.25 /100g,2.25
2328550,Metro,Rye And Oat Bran Crispbread,250g,RyVita,4.99,$2.00 /100g,2.0
2328604,Metro,Fudge Striped Shortbread Sugar Free Cookies,320g,Voortman,3.49,$1.09 /100g,1.09
2328627,Metro,Hard Bread Biscuits,625g,Purity,8.79,$1.41 /100g,1.41
2328778,Metro,Gressini Breadsticks,150g,Schär,8.99,$5.99 /100g,5.99
2328941,Metro,Milk Chocolate Chip Buttery Bite-Sized Shortbread Co...,140g,Cookie it Up,6.49,$4.64 /100g,4.64
2328965,Metro,Chocolate Chip Shortbread Cookies,170g,Cookie it Up,7.99,$4.70 /100g,4.7
2329044,Metro,"Roasted Garlic Hummus And Flatbread, Snack'n Go",83g,Summer Fresh,2.99,$3.60 /100g,3.6
2329120,Metro,Dark Crisp Bread Crackers,250g,RyVita,4.99,$2.00 /100g,2.0
2329159,Metro,"Gressini Breadsticks, Organic",125g,Life Smart,4.49,$3.59 /100g,3.59
2329181,Metro,"Onion Flatbreads, Thins",125g,RyVita,4.99,$3.99 /100g,3.99
2329222,Metro,"3 Cheese Flatbreads, Thins",125g,RyVita,4.99,$3.99 /100g,3.99
2329240,Metro,Chili Flatbreads,125g,RyVita,4.99,$3.99 /100g,3.99
2329589,Metro,"Sesame Breadsticks, Organic",125g,Life Smart,4.49,$3.59 /100g,3.59
2329602,Metro,Christmas Tree Shaped Shortbread,150g,Walkers,6.99,$4.66 /100g,4.66
2329742,Metro,Mini Star Shotbread Cookie,125g,Walkers,4.99,$3.99 /100g,3.99
2329770,Metro,"Tomato And Basil Toasted Snack Bread, Baguettes",120g,Boulangerie Grissol,3.99,$3.32 /100g,3.32
2329775,Metro,"Olive Oil And Sea Salt Toasted Snack Bread, Baguettes",120g,Boulangerie Grissol,3.99,$3.32 /100g,3.32
