id,vendor,product_name,units,brand,current_price,price_per_unit,price_in_dollars
2321104,Metro,"1% Lactose Free Chocolate Milk, Fine-Filtered",2l,Natrel,6.39,$0.32 /100ml,0.32
2321110,Metro,3.25% Milk,4l,Beatrice,7.09,$0.18 /100ml,0.18
2321127,Metro,Skim Milk,2l,Beatrice,5.39,$0.27 /100ml,0.27
2321132,Metro,"Lactose-Free 2% Protein Milk, Plus",2l,Natrel,7.59,$0.38 /100ml,0.38
2321161,Metro,"0% Skim Milk, UltraPur",1.5l,Lactantia,5.49,$0.37 /100ml,0.37
2321197,Metro,1% Chocolate Milk,1 l,Beatrice,3.69,$0.37 /100ml,0.37
2321248,Metro,"3.25% Homogenized Milk, UltraPur",1.5l,Lactantia,5.49,$0.37 /100ml,0.37
2321298,Metro,Skim Milk,4l,Beatrice,6.09,$0.15 /100ml,0.15
2321308,Metro,"3.25% Lactose Free Milk, Fine-Filtered",2l,Natrel,7.19,$0.36 /100ml,0.36
2321310,Metro,"3.25% Milk, Fine-Filtered",4l,Natrel,7.89,$0.20 /100ml,0.2
2321326,Metro,"3.25% Lactose Free Milk, PurFiltre",2l,Lactantia,6.49,$0.32 /100ml,0.32
2321328,Metro,1% Chocolate Milk,2l,Beatrice,6.19,$0.31 /100ml,0.31
2321339,Metro,2% Lactose Free Milk,2l,Lactantia,6.49,$0.32 /100ml,0.32
2321358,Metro,"3.25% Milk, Fine-Filtered",2 l,Natrel,5.99,$0.30 /100ml,0.3
2321364,Metro,"2% Lactose Free Milk, Fine-Filtered",2l,Natrel,6.69,$0.33 /100ml,0.33
2321366,Metro,"1% Milk, Fine Filtered",2 l,Natrel,5.69,$0.28 /100ml,0.28
2321377,Metro,"Skim Milk, Fine-Filtered",2 l,Natrel,5.69,$0.28 /100ml,0.28
2321382,Metro,3.25% Milk,2l,Beatrice,5.49,$0.27 /100ml,0.27
2321383,Metro,1% Milk,4l,Beatrice,6.09,$0.15 /100ml,0.15
2321424,Metro,2% Fine-Filtred Chocolate Milk,2l,Natrel,6.99,$0.35 /100ml,0.35
2321458,Metro,1% Lactose Free Milk,2l,Lactantia,6.49,$0.32 /100ml,0.32
2321482,Metro,"1% Milk, PurFiltre",1.5l,Lactantia,5.69,$0.38 /100ml,0.38
2321500,Metro,"3.25% Homogenized Milk, PurFiltre",1.5l,Lactantia,5.69,$0.38 /100ml,0.38
2321502,Metro,"2% Milk, PurFiltre",1.5l,Lactantia,5.69,$0.38 /100ml,0.38
2321562,Metro,"3.25% Homogenized Milk, PurFiltre",1l,Lactantia,4.29,$0.43 /100ml,0.43
